Dealer_Code,Feb_2324_sales,Mar_2324_sales,Apr_2425_sales,May_2425_sales,Jun_2425_sales,Jul_2425_sales,Aug_2425_sales,Sep_2425_sales,Oct_2425_sales,Nov_2425_sales,Dec_2425_sales,Jan_2425_sales,Feb_2324_Target,Mar_2324_Target,Apr_2425_Target,May_2425_Target,Jun_2425_Target,Jul_2425_Target,Aug_2425_Target,Sep_2425_Target,Oct_2425_Target,Nov_2425_Target,Dec_2425_Target,Jan_2425_Target,Sales_Pattern_Overall,Target_Pattern_Overall,Achieved_Type,Predicted_Target_R,Percentage_PT_Dist,Category_Overall
SIPA113,12,0,26,0,15,12,17,16,20,12,0,15,14,12,12,12,15,15,15,15,10,10,15,15,HHHLLH,AAAANN,Moderate Achievement,20,0.0016570008285004142,Consistently Strong Performer
SIPA114,25,0,59,26,29,31,20,21,26,20,26,21,30,25,25,25,25,25,25,25,20,20,30,30,LLLLHL,NNAANN,Low Achievement,25,0.002071251035625518,Consistently Weak Performer
SIPA117,152,262,268,223,176,178,215,226,215,224,174,150,230,200,220,240,250,225,250,250,200,200,220,220,HHHHLL,NNAANN,Low Achievement,190,0.015741507870753936,Emerging Performer
SIPA118,23,45,65,25,24,39,42,45,46,34,22,20,40,35,35,35,40,35,40,40,35,35,40,40,HHHLLL,AAANNN,Moderate Achievement,30,0.0024855012427506215,Momentum Gainer
SIPA122,0,39,43,25,0,34,0,27,25,25,21,20,25,20,20,25,30,30,30,30,20,20,24,25,LHHHHL,NNAANN,Low Achievement,25,0.002071251035625518,Emerging Performer
SIPA123,0,50,25,0,26,0,25,30,0,19,26,0,20,20,20,20,24,24,25,25,20,20,24,25,HHLHHL,AANNAN,Moderate Achievement,30,0.0024855012427506215,Emerging Performer
SIPA126,0,17,31,8,0,0,20,18,0,21,0,20,20,15,15,15,20,20,17,17,20,20,20,12,HHLHLH,AANANA,Moderate Achievement,25,0.002071251035625518,Consistently Strong Performer
SIPA128,12,0,24,24,0,0,10,0,0,0,0,12,12,10,12,12,12,12,10,10,10,10,12,10,LLLLLH,ANNNNA,Low Achievement,15,0.0012427506213753107,Consistently Weak Performer
SIPA131,50,42,77,55,26,39,51,50,55,20,26,30,50,40,45,50,60,60,50,50,50,50,50,45,HHHLLL,AAANNN,Moderate Achievement,30,0.0024855012427506215,Momentum Gainer
SIPA133,11,16,42,0,14,12,7,26,24,0,13,17,24,15,20,24,24,24,25,25,20,20,24,15,LHHLLH,NAANNA,Moderate Achievement,25,0.002071251035625518,Fluctuating Performer
SIPA134,0,0,23,16,15,15,16,20,14,22,12,6,20,15,15,15,15,15,17,17,20,20,24,20,HHLHLL,NANANN,Low Achievement,20,0.0016570008285004142,Fluctuating Performer
SIPA135,24,13,24,22,10,0,12,25,24,28,23,12,24,20,20,24,24,24,25,25,20,20,24,20,LHHHHL,NAAANN,Moderate Achievement,25,0.002071251035625518,Emerging Performer
SIPA148,0,0,0,67,41,0,49,34,30,40,31,0,40,30,30,30,40,40,30,30,30,30,40,30,HHLHLL,AANANN,Moderate Achievement,40,0.0033140016570008283,Fluctuating Performer
SIPA151,0,0,0,0,0,0,80,40,50,87,0,87,100,777,777,700,200,50,100,100,100,80,80,30,HHHHLH,NNNANA,Low Achievement,80,0.006628003314001657,Emerging Performer
SIPA163,0,0,40,53,20,20,36,25,10,31,20,10,40,30,30,30,40,40,30,30,30,30,30,30,HLLHLL,ANNANN,Low Achievement,25,0.002071251035625518,Consistently Weak Performer
SIPA164,13,12,13,0,0,0,2,0,5,4,0,0,15,12,12,12,12,12,10,10,10,10,12,12,LLHHLL,NNNNNN,No Achievement,0,0.0,Consistently Weak Performer
SIPA165,0,11,20,20,14,10,14,10,11,15,0,0,20,10,12,20,20,20,15,15,20,20,24,15,HLLHLL,NNNNNN,No Achievement,15,0.0012427506213753107,Consistently Weak Performer
SIPA167,5,20,16,13,0,12,0,14,0,0,0,12,12,10,10,12,15,15,15,15,10,10,12,6,LHLLLH,NNNNNA,Low Achievement,15,0.0012427506213753107,Consistently Weak Performer
SIPA173,0,0,0,25,25,30,0,31,28,27,33,0,30,25,25,30,30,30,25,25,25,25,30,22,LHHHHL,NAAAAN,Moderate Achievement,35,0.002899751449875725,Consistently Strong Performer
SIPA174,41,41,45,40,45,25,0,13,20,18,38,22,40,40,40,40,45,45,60,60,50,35,35,30,LLLLHH,NNNNAN,Low Achievement,30,0.0024855012427506215,Consistently Weak Performer
SIPA184,0,12,12,13,13,0,16,15,13,11,13,11,12,10,12,12,12,12,15,15,10,10,12,12,HHHLHH,AAAAAN,High Achievement,15,0.0012427506213753107,Consistently Strong Performer
SIPA187,3,10,2,10,2,0,10,14,16,0,12,0,12,10,10,10,10,10,10,10,10,10,12,12,HHHLHL,AAANAN,Moderate Achievement,20,0.0016570008285004142,Consistently Strong Performer
SIPA190,13,15,15,16,12,12,19,0,20,24,20,11,12,15,15,15,15,15,18,18,20,20,20,15,HLHHHL,ANAANN,Moderate Achievement,25,0.002071251035625518,Emerging Performer
SIPA192,0,14,0,6,13,0,10,0,0,0,10,0,15,10,12,12,12,12,10,10,10,10,12,10,HLLLHL,NNNNNN,No Achievement,10,0.0008285004142502071,Consistently Weak Performer
SIPA202,33,66,60,40,40,51,52,53,23,0,54,24,50,40,45,50,70,60,60,60,50,50,50,40,HHLLHL,NNNNAN,Low Achievement,40,0.0033140016570008283,Fluctuating Performer
SIPA206,12,31,24,12,7,12,12,0,22,12,0,12,20,20,20,20,20,20,20,20,20,20,20,12,LLHHLH,NNANNN,Low Achievement,20,0.0016570008285004142,Fluctuating Performer
SIPA208,0,0,0,30,0,0,25,0,0,0,50,0,25,20,20,30,30,30,20,20,20,20,24,10,HLLLHL,NNNNNN,No Achievement,15,0.0012427506213753107,Consistently Weak Performer
SIPA212,59,19,51,34,24,25,51,51,56,0,21,10,55,50,50,50,50,50,50,50,50,50,50,50,HHHLLL,AAANNN,Moderate Achievement,35,0.002899751449875725,Momentum Gainer
SIPA213,25,40,39,14,13,25,35,24,20,21,12,24,20,20,20,24,24,24,25,25,20,20,24,24,HLLLLH,ANAANN,Moderate Achievement,25,0.002071251035625518,Fluctuating Performer
SIPA215,5,10,12,11,0,11,0,11,10,0,12,11,20,10,10,12,12,12,10,10,10,10,12,12,LHHLHH,NAANAN,Moderate Achievement,15,0.0012427506213753107,Emerging Performer
SIPA217,0,0,0,0,14,0,0,0,0,10,0,0,12,5,5,0,0,12,10,10,10,10,12,12,LLLHLL,NNNNNN,No Achievement,0,0.0,Consistently Weak Performer
SIPA232,13,12,12,0,0,12,12,0,13,0,0,23,25,12,12,12,15,12,20,20,20,10,12,12,HLHLLH,NNNNNA,Low Achievement,20,0.0016570008285004142,Fluctuating Performer
SIPA233,50,62,52,25,10,21,48,55,54,54,50,32,50,40,40,45,50,50,50,50,50,50,50,50,HHHHHL,NAAAAN,Moderate Achievement,55,0.004556752278376139,Consistently Strong Performer
SIPA234,32,42,103,68,48,50,48,53,60,91,0,0,50,40,45,55,60,50,50,50,50,35,50,30,LLLHLL,NAAANN,Moderate Achievement,75,0.006213753106876553,Fluctuating Performer
SIPA235,60,74,92,39,33,30,56,63,56,55,46,30,60,60,60,65,65,55,65,65,50,50,60,60,HHHHLL,NNAANN,Low Achievement,50,0.004142502071251036,Emerging Performer
SIPA236,26,29,28,24,25,25,11,11,20,10,17,14,24,20,24,24,30,24,25,25,20,20,24,24,LLLLLL,NNANNN,Low Achievement,20,0.0016570008285004142,Consistently Weak Performer
SIPA237,17,14,26,0,0,13,21,13,0,12,20,12,20,12,12,12,12,12,15,15,20,20,24,12,HHLHHL,ANNNNN,Low Achievement,20,0.0016570008285004142,Emerging Performer
SIPA238,0,11,0,13,0,0,13,12,0,0,12,6,0,0,0,12,10,10,10,10,10,10,12,5,HHLLHL,AANNNA,Moderate Achievement,15,0.0012427506213753107,Fluctuating Performer
SIPA241,15,20,20,20,22,0,23,20,0,20,20,0,15,15,15,15,15,20,20,20,20,20,20,20,HHLHHL,AANAAN,Moderate Achievement,25,0.002071251035625518,Consistently Strong Performer
SIPA243,24,51,12,12,12,12,12,25,26,25,12,12,20,20,20,24,24,24,30,30,20,20,24,20,LHHHLL,NNNNNN,No Achievement,15,0.0012427506213753107,Fluctuating Performer
SIPA244,51,45,51,54,30,25,25,25,49,21,49,20,50,40,50,50,50,50,50,50,50,50,50,40,LLHLHL,NNNNNN,No Achievement,30,0.0024855012427506215,Consistently Weak Performer
SIPA249,0,0,19,15,12,0,0,12,13,22,19,0,20,12,12,15,20,12,15,15,20,20,20,12,LHHHHL,NNNANN,Low Achievement,25,0.002071251035625518,Emerging Performer
SIPA252,0,15,20,7,0,10,14,0,15,13,0,15,12,10,12,15,15,15,15,15,10,10,12,12,HLHHLH,NNAANA,Moderate Achievement,20,0.0016570008285004142,Emerging Performer
SIPA257,13,0,24,0,12,0,4,11,11,0,11,0,12,10,10,12,12,12,10,10,10,10,12,12,LHHLHL,NAANNN,Low Achievement,15,0.0012427506213753107,Fluctuating Performer
SIPA260,0,0,28,0,0,12,0,0,0,10,12,12,12,10,10,12,15,15,10,10,10,10,12,12,LLLHHH,NNNAAN,Low Achievement,15,0.0012427506213753107,Declining Performer
SIPA265,16,5,15,0,10,0,11,10,20,23,0,0,20,15,15,15,20,20,20,20,20,20,20,10,HHHHLL,NNAANN,Low Achievement,25,0.002071251035625518,Emerging Performer
SIPA270,26,23,13,27,10,12,10,12,10,9,20,12,15,12,12,15,20,20,20,20,10,10,15,15,LLLLHH,NNANNN,Low Achievement,15,0.0012427506213753107,Consistently Weak Performer
SIPA271,0,13,0,0,0,0,12,12,0,12,12,0,12,0,0,0,0,0,0,10,10,10,10,10,HHLHHL,AANAAN,Moderate Achievement,15,0.0012427506213753107,Consistently Strong Performer
SIPA273,0,48,71,25,32,3,21,29,0,21,0,29,20,15,20,30,35,30,20,20,35,35,35,22,LLLHLH,AANNNA,Moderate Achievement,35,0.002899751449875725,Declining Performer
SIPA274,25,23,25,16,13,0,15,18,11,11,13,0,20,12,12,15,20,20,15,15,20,20,20,12,LHLLHL,NANNNN,Low Achievement,15,0.0012427506213753107,Consistently Weak Performer
SIPA275,0,0,21,12,0,0,0,16,12,13,12,12,25,20,20,20,20,20,15,15,10,10,12,12,LHHHHH,NAAAAA,High Achievement,20,0.0016570008285004142,Consistently Strong Performer
SIPA276,5,0,23,0,0,15,11,10,11,8,6,0,15,10,12,15,15,15,10,10,10,10,12,12,HHHHLL,ANANNN,Low Achievement,15,0.0012427506213753107,Emerging Performer
SIPA278,0,11,0,10,12,12,12,10,10,10,0,9,12,5,10,12,12,12,10,10,10,10,12,12,HHHLLL,ANAANN,Moderate Achievement,15,0.0012427506213753107,Fluctuating Performer
SIPA282,29,24,50,29,26,20,18,46,52,24,22,20,50,40,45,50,45,40,50,50,50,50,50,30,LHHLLL,NNANNN,Low Achievement,25,0.002071251035625518,Consistently Weak Performer
SIPA287,0,11,13,12,0,0,13,12,11,12,0,0,12,10,10,12,12,12,10,10,10,10,12,12,HHHHLL,AAAANN,Moderate Achievement,15,0.0012427506213753107,Consistently Strong Performer
SIPA291,0,30,0,24,0,0,25,0,25,0,10,0,25,20,20,25,25,25,25,25,20,20,24,20,HLHLHL,ANANNN,Low Achievement,25,0.002071251035625518,Fluctuating Performer
SIPA300,0,0,26,12,0,0,20,0,0,20,0,19,25,15,20,20,25,20,20,20,20,20,24,12,HLLHLH,ANNNNA,Low Achievement,25,0.002071251035625518,Fluctuating Performer
SIPA302,0,0,0,3,3,4,15,12,13,13,12,15,15,15,15,15,15,10,10,10,10,10,12,12,HHHHHH,AAAAAA,High Achievement,20,0.0016570008285004142,Consistently Strong Performer
SIPA308,0,0,13,25,0,14,18,20,0,16,0,32,20,12,12,20,15,20,10,10,10,10,15,12,HHLHLH,AANANA,Moderate Achievement,30,0.0024855012427506215,Consistently Strong Performer
SIPA309,40,40,0,26,41,0,56,0,0,22,34,24,40,30,30,30,40,40,45,45,50,35,40,20,HLLHHH,ANNNNA,Low Achievement,30,0.0024855012427506215,Emerging Performer
SIPA310,12,41,63,9,0,12,27,32,24,20,25,10,25,20,20,24,24,24,30,30,20,20,24,24,HHHHHL,NAAAAN,Moderate Achievement,25,0.002071251035625518,Consistently Strong Performer
SIPA315,12,16,40,12,13,0,14,16,0,22,0,0,12,15,12,20,20,12,15,15,20,10,20,15,LLLHLL,NANANN,Low Achievement,20,0.0016570008285004142,Consistently Weak Performer
SIPA317,12,0,0,13,12,0,14,0,13,12,12,0,25,12,12,12,24,24,15,15,10,10,12,12,HLHHHL,NNAAAN,Moderate Achievement,15,0.0012427506213753107,Emerging Performer
SIPA318,0,17,15,0,25,0,0,8,24,0,0,20,20,15,15,20,25,25,22,22,20,20,20,10,LLHLLH,NNANNA,Low Achievement,25,0.002071251035625518,Consistently Weak Performer
SIPA319,0,0,33,38,13,16,30,36,28,26,60,30,40,30,30,50,60,60,25,25,25,20,30,30,HHHLHL,AAAAAN,High Achievement,50,0.004142502071251036,Consistently Strong Performer
SIPA320,14,26,30,12,0,13,25,0,12,12,12,13,25,25,25,25,30,30,30,30,35,20,24,15,HLLHHH,NNNNNN,No Achievement,15,0.0012427506213753107,Emerging Performer
SIPA321,0,16,8,10,0,9,21,25,20,20,20,15,20,15,15,15,15,15,20,20,20,20,24,24,HHHHHL,AAANNN,Moderate Achievement,25,0.002071251035625518,Emerging Performer
SIPA324,0,6,0,0,0,0,10,10,9,0,10,0,15,5,5,5,5,10,10,10,10,10,10,12,HHHLHL,AANNNN,Low Achievement,15,0.0012427506213753107,Emerging Performer
SIPA329,74,61,86,61,50,25,30,31,34,0,31,30,70,70,70,70,70,70,80,80,80,80,80,40,LLLLHH,NNNNNN,No Achievement,35,0.002899751449875725,Consistently Weak Performer
SIPA330,13,15,30,12,14,13,21,23,12,13,24,11,20,15,15,15,20,20,18,18,20,10,17,17,HHLLHL,AANAAN,Moderate Achievement,20,0.0016570008285004142,Target-Oriented Performer
SIPA331,13,12,28,12,16,14,17,16,0,13,12,13,12,10,12,12,15,15,15,15,20,20,20,12,HLLHLH,AANNNA,Moderate Achievement,15,0.0012427506213753107,Fluctuating Performer
SIPA332,21,12,12,13,12,0,21,13,11,15,10,12,24,12,12,20,24,24,20,20,20,20,24,12,HHLHLH,ANNNNN,Low Achievement,15,0.0012427506213753107,Emerging Performer
SIPA333,33,55,38,41,25,25,30,39,33,26,14,12,30,25,25,30,40,40,40,40,35,35,40,35,LHHLLL,NNNNNN,No Achievement,20,0.0016570008285004142,Consistently Weak Performer
SIPA334,13,20,32,19,12,0,18,11,21,12,0,11,20,20,20,20,24,24,25,25,20,20,20,15,HLHLLH,NNANNN,Low Achievement,20,0.0016570008285004142,Fluctuating Performer
SIPA336,11,19,25,12,0,9,0,24,9,7,0,12,30,20,20,20,30,24,22,22,20,20,24,20,LHLLLH,NANNNN,Low Achievement,25,0.002071251035625518,Consistently Weak Performer
SIPA338,35,0,0,20,0,0,0,12,0,0,0,12,35,25,25,25,30,30,25,25,20,20,24,5,LHLLLH,NNNNNN,No Achievement,0,0.0,Consistently Weak Performer
SIPA339,42,31,45,26,28,26,0,23,20,24,25,28,60,40,40,45,50,50,40,40,50,35,35,24,LLLHHH,NNNNNA,Low Achievement,30,0.0024855012427506215,Declining Performer
SIPA342,12,16,27,15,0,0,11,13,19,16,0,11,20,15,15,15,20,20,20,20,20,20,20,12,LHHHLH,NNNNNN,No Achievement,15,0.0012427506213753107,Emerging Performer
SIPA343,40,48,39,35,23,16,25,40,20,40,20,23,50,50,45,45,50,50,45,45,50,50,50,30,LHLHLL,NNNNNN,No Achievement,30,0.0024855012427506215,Consistently Weak Performer
SIPA344,13,13,11,0,12,0,12,0,0,12,0,0,12,5,5,12,10,10,10,10,10,10,12,12,HLLHLL,ANNANN,Low Achievement,15,0.0012427506213753107,Consistently Weak Performer
SIPA345,22,21,48,10,10,13,25,30,21,13,24,11,20,15,15,20,24,20,20,20,20,20,24,24,HHLLHL,AAANAN,Moderate Achievement,20,0.0016570008285004142,Target-Oriented Performer
SIPA346,0,0,0,0,12,7,26,22,21,37,15,0,12,12,12,12,15,12,10,10,10,10,15,15,HHHHLL,AAAANN,Moderate Achievement,30,0.0024855012427506215,Consistently Strong Performer
SIPA347,26,23,13,13,13,13,26,27,22,23,0,21,30,20,20,20,24,25,30,30,20,20,24,20,HHHHLH,NNAANA,Moderate Achievement,30,0.0024855012427506215,Emerging Performer
SIPA349,20,12,0,0,19,0,13,21,0,0,14,0,25,15,15,15,20,20,20,20,20,20,15,10,HHLLHL,NANNNN,Low Achievement,20,0.0016570008285004142,Fluctuating Performer
SIPA350,0,0,16,0,5,0,0,13,0,0,5,0,15,15,15,20,15,12,10,10,10,10,12,5,LHLLHL,NANNNN,Low Achievement,15,0.0012427506213753107,Consistently Weak Performer
SIPA351,8,0,12,12,0,0,8,0,11,6,0,0,12,10,10,12,12,12,10,10,10,10,12,12,HLHHLL,NNANNN,Low Achievement,15,0.0012427506213753107,Fluctuating Performer
SIPA356,12,13,0,12,12,13,0,0,12,13,13,12,12,5,5,12,12,12,10,10,10,10,10,12,LLHHHH,NNAAAN,Moderate Achievement,15,0.0012427506213753107,Emerging Performer
SIPA357,20,25,0,16,25,0,25,30,0,0,12,0,25,15,15,20,20,20,20,20,20,20,25,12,HHLLLL,AANNNN,Low Achievement,25,0.002071251035625518,Consistently Weak Performer
SIPA361,6,20,27,0,13,0,0,12,24,13,0,11,20,15,15,20,24,20,20,20,20,20,20,20,LHHHLH,NNANNN,Low Achievement,20,0.0016570008285004142,Emerging Performer
SIPA363,31,53,13,48,27,16,41,78,58,72,78,52,50,35,30,35,60,45,40,40,50,50,55,50,HHHHHL,AAAAAA,High Achievement,80,0.006628003314001657,Consistently Strong Performer
SIPA364,25,34,0,25,25,16,25,25,0,24,21,0,20,20,20,25,25,25,25,25,20,20,24,20,HHLHHL,AANANN,Moderate Achievement,30,0.0024855012427506215,Emerging Performer
SIPA367,0,14,25,0,13,0,14,12,14,23,15,12,12,10,12,12,12,12,10,10,10,10,15,15,HHHHHL,AAAANN,Moderate Achievement,20,0.0016570008285004142,Consistently Strong Performer
