Code,Dealer Name,CS,AP,MP,Status
SIPT313,Sri Rama Traders (N),10.2,27,2000,Non-Exclusive
SIPT321,Sri Venkateswara Traders Rekurthi,32.5,29,2000,Non-Exclusive
SIPT329,Mahalaxmi Agencies,74.5,11,150,Non-Exclusive
SIPT366,New Anusha Iron & Steel Traders,49.7,21,0,Non-Exclusive
SIPT400,Sai Sri Enterprises,86.9,12,0,Non-Exclusive
SIPT425,"Mahendra Steel And Cement, Koratla",74.5,10,250,Non-Exclusive
SIPT008,Raj Trading Co.,401.7,83,800,Exclusive
SIPT195,Mallikarjuna Tiles & Stones,42.6,28,70,Exclusive
SIPT214,Sri Venkateshwara Traders (U),44.9,36,250,Non-Exclusive
SIPT221,Sree Yashoda Enterprises,6,10,50,Non-Exclusive
SIPT231,Dathatreya Traders Bellampally,9.8,7,200,Non-Exclusive
SIPT273,Om Steels Mncl,20,24,800,Non-Exclusive
SIPT297,Eashwari Traders Cement Sanitery & General Merchant,36.1,3,80,Non-Exclusive
SIPT358,Geetha Traders Jagtial,42.4,19,500,Non-Exclusive
SIPT379,Sri Sai Traders (M),20.4,21,2000,Non-Exclusive
SIPT390,Sri Rajarajeshwara Agencies,18.6,7,80,Non-Exclusive
SIPT394,Gayathri Enterprises Dharmapuri,21.1,7,100,Non-Exclusive
SIPT398,Gampa Enterprises,12.7,36,70,Non-Exclusive
SIPT399,Maha Laxmi Traders,75.7,20,70,Non-Exclusive
SIPT405,Mahalaxmi Traders,74.5,7,500,Non-Exclusive
SIPT140,Om Sai Steels,20,34,800,Exclusive
SIPT150,Maha Lakshmi Steels,75.7,40,4000,Exclusive
SIPT151,Padmalaya Enterprises,81,46,4000,Exclusive
SIPT211,Bhavani Traders (H),9.2,32,800,Non-Exclusive
SIPT239,Sri Krishna Iron & Cement,18.7,41,250,Non-Exclusive
SIPT246,Sainath Enterprises,102.3,23,4000,Non-Exclusive
SIPT274,Chilupuri Steels,24.4,19,4000,Non-Exclusive
SIPT275,Laxmi Agencies,26.2,13,800,Non-Exclusive
SIPT276,Sri Maha Lakshmi Agencies,50,17,4000,Exclusive
SIPT299,Kanakadurga Iron Cement Merchants,31.6,58,4000,Non-Exclusive
SIPT323,Sai Fertilizers,10,2,100,Non-Exclusive
SIPT332,Maanheii Iron Cement,20.2,13,311.1111111,Non-Exclusive
SIPT333,Sri Maheshwara Agencies,50,2,800,Non-Exclusive
SIPT376,Vinayaka Traders (J),182.8,20,311.1111111,Non-Exclusive
SIPT409,Shanmukha Steels,60.7,9,100,Non-Exclusive
SIPT411,Krishna Iron And Cement,51.7,2,250,Non-Exclusive
SIPT420,Sri Mahalakshmi Enterprises,50,4,80,Non-Exclusive
SIPT423,Sri Mallikarjuna Iron Hardwares And Cement,50,9,100,Non-Exclusive
SIPT143,Laxmi Iron Cement & General Merchant,26.2,22,1000,Non-Exclusive
SIPT144,Venkateswara Steels,172.3,20,250,Exclusive
SIPT145,Sri Sai Ram Iron And Cement,22.3,6,600,Non-Exclusive
SIPT147,Sri Venkateshwara Iron & Hardware Merchant,44.9,19,1000,Non-Exclusive
SIPT149,Venkataramana Iron & Hardware,204.7,13,600,Non-Exclusive
SIPT269,Vaman Iron Hardware And Cement,56.5,7,1000,Non-Exclusive
SIPT286,Kumar Enterprises,51.7,10,250,Non-Exclusive
SIPT291,Thirumala Traders,99.7,19,180,Non-Exclusive
SIPT311,Gangisetty Sathya Narayana Cement Mrechant,21.1,20,250,Non-Exclusive
SIPT320,Thirumala Iron Hardware And General,96.5,17,600,Non-Exclusive
SIPT324,Surya Iron Cement And Sanitary,65.5,13,600,Non-Exclusive
SIPT343,Indrasena Traders,24.4,11,1000,Non-Exclusive
SIPT352,Madhavi Agencies,16.1,18,250,Non-Exclusive
SIPT001,Meghraj Omprakash,510.3,42,1000,Non-Exclusive
SIPT010,Sri Laxmi Narasimhaswamy Iron And Steel,75.1,45,800,Non-Exclusive
SIPT127,Panduranga Traders,81,4,250,Non-Exclusive
SIPT167,Sri Srinivasa Traders (N),53,3,200,Non-Exclusive
SIPT187,Sri Ramalingeshwara Fertilizers,100.7,17,500,Non-Exclusive
SIPT201,Neelima Traders,49.7,15,800,Non-Exclusive
SIPT206,Charminar Traders,24.4,8,0,Non-Exclusive
SIPT234,Saraswathi Marketings,48.5,16,250,Non-Exclusive
SIPT245,Siddipet Steel Traders Siddipet,90.7,46,600,Non-Exclusive
SIPT266,S. R. Building Materials,44.7,16,0,Non-Exclusive
SIPT307,Madina Steel Traders,41.4,21,600,Non-Exclusive
SIPT345,Sri Laxmi Narasimha Steel,75.1,6,0,Non-Exclusive
SIPT388,Om Steels,20,7,400,Non-Exclusive
SIPT430,Sree Satyam Steels,32,5,0,Non-Exclusive
SIPT109,Siddeshwara Traders,90.7,23,450,Non-Exclusive
SIPT111,Jagannadh Traders,24.4,27,400,Non-Exclusive
SIPT116,Maruthi Venkateshwara Traders,17,6,450,Non-Exclusive
SIPT120,Svs Enterprises,68.9,18,800,Non-Exclusive
SIPT121,Mathaji Steel Cement Syndicate,17,35,800,Exclusive
SIPT123,Sri Ramakrishna Enterprises,100.7,69,600,Exclusive
SIPT124,Sri Vinayaka Steels - S,11.6,11,600,Non-Exclusive
SIPT126,Sri Rama Traders,33.7,23,120,Exclusive
SIPT220,Sahithi Traders,10,13,150,Non-Exclusive
SIPT263,Mohammad Azgar & Sons,0,30,180,Non-Exclusive
SIPT294,Sri Laxmi Narasimha Cement Iron & Hardware,75.1,18,130,Non-Exclusive
SIPT305,Chandana Traders,24.4,8,60,Non-Exclusive
SIPT309,SRI VIGNESWARA TRADERS(N),120.6,19,200,Non-Exclusive
SIPT355,Badam Narsaiah & Sons,30.8,4,450,Non-Exclusive
SIPT359,Sai Ram Traders,26.1,40,800,Non-Exclusive
SIPT382,Bharat Traders,16.3,5,80,Non-Exclusive
SIPT391,Sri Vigneshwara Traders (M),32.5,6,450,Non-Exclusive
SIPT392,RK Infra,30.9,2,600,Non-Exclusive
SIPT403,Sri Rama Steel And Cement (M),33.7,4,70,Non-Exclusive
SIPT412,Nagendra Traders,49.7,3,50,Non-Exclusive
SIPT424,Thiramdasu Traders,152.1,5,400,Non-Exclusive
SIPT087,New Laxmi Agencies,40,5,300,Non-Exclusive
SIPT090,Pragathi Traders,101.8,8,50,Non-Exclusive
SIPT099,Shiva Shankar Traders,60.7,13,250,Non-Exclusive
SIPT193,Sri Mahalaxmi Cement Traders,50,11,200,Non-Exclusive
SIPT194,Sai Chaitanya Steel Agencies,10,16,300,Non-Exclusive
SIPT283,M Srinivasulu Gupta,12.4,15,500,Non-Exclusive
SIPT285,Raja Rajeshwari Traders,401.7,6,250,Non-Exclusive
SIPT316,R.K Steels Profiles,31.7,7,250,Non-Exclusive
SIPT326,Sri Balaji Steels,38,26,300,Non-Exclusive
SIPT339,Srinivasa Iron & Cement Store,60,12,30,Non-Exclusive
SIPT341,Sana Traders,48.5,7,25,Non-Exclusive
SIPT367,Sri Balaji Hardware And Electricals,30.8,2,40,Non-Exclusive
SIPT374,C.BHASKAR CEMENT TRADERS (M NAGAR),17.6,100,0,Non-Exclusive
SIPT375,C.BHASKAR CEMENT TRADERS (BHUTHPUR),17.6,103,1600,Exclusive
SIPT385,Jai Hanuman Traders,24.4,5,60,Non-Exclusive
SIPT386,Sri Raghavendra Agencies,30.3,4,150,Non-Exclusive
SIPT389,Sri Guru Raghavendra Traders,21.6,45,250,Non-Exclusive
SIPT410,C.Bhaskar Cement Traders (M Nagar-2),17.6,10,0,Exclusive
SIPT413,Sri Ganesh Traders,31,3,30,Non-Exclusive
SIPT428,Vara Laxmi Agencies,56.5,24,300,Non-Exclusive
SIPT083,Jayalaxmi Cement Hardware & Electricals,202.5,34,60,Exclusive
SIPT089,Balaji Traders (K),37.2,7,40,Non-Exclusive
SIPT092,Quadeeriya Traders,101.8,29,80,Non-Exclusive
SIPT095,Bhagvathi Sanitary & Hardware,16.3,19,75,Exclusive
SIPT098,Sohail Iron & Hardware,23,12,80,Non-Exclusive
SIPT179,Wahab Saab Agencies,62.3,18,1000,Non-Exclusive
SIPT202,Mbp Hardware,510.3,24,120,Exclusive
SIPT209,Tawakkal Traders,168.5,26,90,Exclusive
SIPT210,Athidhi Traders,27.4,31,130,Exclusive
SIPT258,Suguna Iron & Cement,48.4,14,50,Non-Exclusive
SIPT260,Indhu Iron & Hardware,24.4,3,200,Non-Exclusive
SIPT277,Sri Srinivasa Traders,53,3,15,Non-Exclusive
SIPT293,New Bharat Traders,57.2,6,30,Non-Exclusive
SIPT302,Yamani Traders,45,17,80,Non-Exclusive
SIPT303,Mallikarjuna Enterprises & Traders,42.6,5,25,Non-Exclusive
SIPT319,Anjana Agencies,132.8,27,1000,Non-Exclusive
SIPT354,Sri Sapthagiri Agencies,43.7,8,20,Non-Exclusive
SIPT415,Sai Venkteswara Iron & Rolling Shutters,102.3,12,50,Non-Exclusive
SIPT421,Balaji Iron And Hardware Ingineering Works,7.8,5,200,Non-Exclusive
SIPT073,Sumedha Steels & Generals,162.4,20,150,Non-Exclusive
SIPT080,Sri Sri Sri Venkata Sai Rama Iron Syndicate,92.1,22,65,Non-Exclusive
SIPT113,Srinivasa Steel Syndicate,82.2,45,375,Non-Exclusive
SIPT198,Lakshmi Traders (K),34.2,22,150,Non-Exclusive
SIPT236,Sri Srinivasa Iron Hardware And General Stores,16.4,11,150,Non-Exclusive
SIPT257,New Sri Sai Krishna Steel Syndicate,20,20,375,Non-Exclusive
SIPT289,Am Traders,35,10,60,Non-Exclusive
SIPT314,Dosapati Ramadasu & Sons Iron Electrical & General Merchants,30,20,70,Non-Exclusive
SIPT338,Sri Srinivasa Iron Syndicate,16.4,30,150,Non-Exclusive
SIPT346,Sri Jayaram Steel Syndicate,53.4,10,150,Non-Exclusive
SIPT071,Sri Kanakadurga Steel Syndicate,186.9,7,150,Non-Exclusive
SIPT077,Kinnera Agencies,33.5,12,380,Non-Exclusive
SIPT164,Sri Rama Traders (E),33.7,11,120,Non-Exclusive
SIPT301,Sri Venkateswara Steel Syndicate,55.1,9,180,Non-Exclusive
SIPT315,Thirumala Steel Cements And General Stores,42.5,4,60,Non-Exclusive
SIPT351,Sri Gayathri Cement Iron And General Merchant,41.2,2,120,Non-Exclusive
SIPT353,Laxmi Steels,26.2,4,100,Non-Exclusive
SIPT397,Sri Sundha Hardware & General Stores,55.9,3,60,Non-Exclusive
SIPT414,Sai Sarath Paints And General Stores,60,8,10,Non-Exclusive
SIPT429,Siva Sai Ganesh Enterprises,10,8,100,Non-Exclusive
SIPT436,Vishnu Chandra Steels,182.8,8,200,Non-Exclusive
SIPT435,Sri Balaji Steel Traders,38,4,500,Non-Exclusive
SIPT440,Hanuman Trading Co.,16.1,16,70,Non-Exclusive
SIPT442,M.K.S. Traders,23.2,1,250,Non-Exclusive
SIPT441,Kanaka Mahalaxmi Enterprises,31.6,21,3200,Non-Exclusive
SIPT437,Gadagoju Bikshapathi Steel Cement Syndicate,12.7,11,450,Non-Exclusive
SIPT438,Lakshmi Bhavani Traders,31.5,13,300,Non-Exclusive
SIPT439,Narayana Traders,49.7,9,100,Non-Exclusive
SIPT448,S S Traders,38.7,3,1000,Non-Exclusive
SIPT447,Mancheriyal Steels,42.6,19,800,Non-Exclusive
SIPT444,Surya Constructions,162.4,2,150,Non-Exclusive
SIPT450,D.R Enterprises,36.8,1,100,Non-Exclusive
SIPT443,Reshma Cement Iron Hardware & General,30.9,1,100,Non-Exclusive
SIPT446,Sri Vighneshwara Steel Tradres,32.5,7,40,Non-Exclusive
SIPT449,Sri Krishna Agencies,13.4,3,1000,Non-Exclusive
SIPT445,Sumedha Steels And Cement,162.4,22,150,Non-Exclusive
SIPT451,Prabhu Iron & Hardware Electricals,101.8,2,40,Non-Exclusive
SIPT459,Sri Balaji Steel Traders Gachibowli,38,3,1000,Non-Exclusive
SIPT455,Konaganti Steels Private Limited,21.2,7,300,Non-Exclusive
SIPT456,Om Sai Agencies,20,8,4000,Non-Exclusive
SIPT460,Srinivasa Ispat Llp,189,12,3000,Non-Exclusive
SIPT454,Vinayaka Steel Enterprises,30.2,7,600,Non-Exclusive
SIPT461,Vivek Cement & Sanitary,102,6,150,Non-Exclusive
SIPT462,Maneesh Enterprises,42.6,29,525,Non-Exclusive
SIPT463,Radhika Steels,31.7,5,500,Non-Exclusive
SIPT468,Kadari Venkanna Cement And Iron Traders,55.8,49,800,Non-Exclusive
SIPT469,Sri Laxmi Agencies,75.1,29,400,Non-Exclusive
SIPT472,Sri Sai Balaji Traders,26.9,4,600,Non-Exclusive
SIPT474,Rajesh Traders,0,9,300,Non-Exclusive
SIPT471,"Morisetti Rammurthy And Sons Cement, Iron Hard Ware",0,45,600,Non-Exclusive
SIPT473,Ayyappa Cement And Iron Agencies,27.4,7,150,Non-Exclusive
SIPT470,Sai Ganesh Steel Traders,10,7,350,Non-Exclusive
SIPA010,Sri Jayanthi Iron Mart,53.4,14,180,Non-Exclusive
SIPA013,Srinivasa Iron Company,189,37,250,Non-Exclusive
SIPA265,Ramana Steel,32.2,8,90,Non-Exclusive
SIPA282,Shoaib Steels,83.8,32,200,Non-Exclusive
SIPA324,Sri Balaji Traders (T),12.6,3,50,Non-Exclusive
SIPA418,Sreenidhi Steels,215.2,62,2500,Non-Exclusive
SIPA419,Sai Ranganatha Steels Private Limited,86.6,32,2500,Non-Exclusive
SIPA483,Sri Venkateswara Iron And Cements,55.1,3,30,Non-Exclusive
SIPA514,L R K Enterprises,31.5,4,2500,Non-Exclusive
SIPA006,Sri Vigneswara Traders,120.6,10,300,Non-Exclusive
SIPA008,K.K.Traders,62.9,31,180,Non-Exclusive
SIPA192,M. Bharatha Raju,34.6,5,100,Non-Exclusive
SIPA212,Yaswanthi Iron Mart,45,39,250,Non-Exclusive
SIPA253,Beeran Saab Traders,13.2,1,80,Non-Exclusive
SIPA381,M S Traders,12.4,2,35,Non-Exclusive
SIPA390,Hanuman Traders (K),16.1,1,60,Non-Exclusive
SIPA524,Yamani Steel And Cements,62.3,5,180,Non-Exclusive
SIPA538,Siva Enterprises,10,2,35,Non-Exclusive
SIPA104,G C S Agencies,15.4,3,80,Non-Exclusive
SIPA106,Sai Ram Yelukur Iron Mart,139.6,53,0,Exclusive
SIPA107,Sai Shakthi Agency,86.9,80,0,Exclusive
SIPA108,Sri Sai Building Materials,108,72,0,Exclusive
SIPA112,Sohail Steels,70.5,36,150,Non-Exclusive
SIPA290,Sai Steels,43.7,18,250,Non-Exclusive
SIPA318,Urukundu Eranna Swamy Agencies,60,8,70,Non-Exclusive
SIPA428,Sri Surya Marketing,165.7,97,0,Non-Exclusive
SIPA461,Manjunatha Traders,17,15,60,Non-Exclusive
SIPA470,Yelukuru Steels,45,16,0,Non-Exclusive
SIPA478,Yelukuru Steel Traders,45,11,0,Non-Exclusive
SIPA479,Ramesh Enterprises,21.1,4,60,Non-Exclusive
SIPA101,Sri Lakshmi Venkata Ramana Traders,35.1,14,170,Non-Exclusive
SIPA102,Sri Sadasiva Traders,52.9,18,100,Non-Exclusive
SIPA103,Sri Venkat Manikya Construction Needs,47.5,12,140,Non-Exclusive
SIPA109,New Balavenkatarama Traders,57.2,20,140,Non-Exclusive
SIPA235,Maddileti Agencies Nandyal,121.7,52,3000,Exclusive
SIPA241,Sree Ranga Traders Atmakur,32,17,60,Non-Exclusive
SIPA275,Khaja Bande Nawaz Traders,8.5,8,40,Exclusive
SIPA379,Sri Guru Lakshmi Narayana Traders,25.4,5,60,Non-Exclusive
SIPA395,M S Enterprises,82.5,45,3000,Non-Exclusive
SIPA404,Sree Lakshmi Prasanna Steel Mart Allagadda,49.2,26,170,Non-Exclusive
SIPA433,Siva Agencies,11,6,60,Non-Exclusive
SIPA471,Sri Manikanta Paints iron & Hardware,18.2,4,60,Non-Exclusive
SIPA507,Kiran Traders,21.2,5,140,Non-Exclusive
SIPA031,Vadlaputi Iron & Steel Traders,60,130,2100,Non-Exclusive
SIPA032,Bharathi Steels Cement & Paints,86.9,80,2100,Exclusive
SIPA039,Sri Ganesh Iron & Hardware Marchant,119.4,46,600,Non-Exclusive
SIPA040,Sri Balaji Traders,59.2,47,400,Exclusive
SIPA043,Ashoka Hardwares,27.4,25,130,Non-Exclusive
SIPA357,Tirumala Agencies,60,16,100,Non-Exclusive
SIPA364,Nagarjuna Agencies,16.6,19,100,Non-Exclusive
SIPA391,Sri Srinivasa Steels,46.1,26,600,Non-Exclusive
SIPA406,Vishnu Steel And Cement,182.8,15,200,Non-Exclusive
SIPA434,Vijay Traders,31.3,6,750,Non-Exclusive
SIPA438,Vinayaka Traders (Huf),25,83,750,Non-Exclusive
SIPA469,Balaji Agencies,53.1,18,2100,Non-Exclusive
SIPA472,G S K TRADING COMPANY,12.7,8,200,Non-Exclusive
SIPA030,Sri Satyanaryana Iron & Hardware Mart,48.3,58,450,Exclusive
SIPA035,Pattupogula Steels,20.8,21,120,Exclusive
SIPA036,S.R.Steels & Paints,4.6,12,150,Exclusive
SIPA037,Sri Kanaka Durga Steels,186.9,83,750,Non-Exclusive
SIPA206,Sree Rama Devi Steel & Cement,13.2,11,90,Exclusive
SIPA238,Kalyan Traders,0.3,6,230,Non-Exclusive
SIPA329,Sree Rama Steels,59.5,47,750,Non-Exclusive
SIPA356,Sri Sivaganesh Traders,14.5,6,30,Non-Exclusive
SIPA385,Sri Sai Enterprises,12.6,6,50,Non-Exclusive
SIPA400,Sree Paavana Traders,49.2,28,230,Non-Exclusive
SIPA487,Sri Lakshmi Venkateswara Traders,51,14,120,Non-Exclusive
SIPA499,Sri Guru Narasimha Traders,21.6,24,150,Non-Exclusive
SIPA539,Nagaraju Enterprises,20,2,70,Non-Exclusive
SIPA015,Venkateshwara Hardware,204.7,25,650,Exclusive
SIPA019,Iks Agencies,24.4,36,200,Exclusive
SIPA024,Hari Priya Traders,10.6,16,150,Exclusive
SIPA025,Mahesh Traders,42.6,48,270,Exclusive
SIPA026,Shree Lakshmi Venkateswara Steels,358.9,132,2500,Non-Exclusive
SIPA028,Shree Venkateswara Steels,49.1,8,2500,Non-Exclusive
SIPA165,Om Vinayaka Hardware & Paints,5.9,15,60,Exclusive
SIPA278,Sri Muthumariyamman Traders,30.8,9,60,Non-Exclusive
SIPA300,Sri Venkateswara Fertilzers,22.4,10,75,Non-Exclusive
SIPA343,Sree Lakshmi Traders,123.2,30,650,Non-Exclusive
SIPA365,Sri Sai Traders,20.4,1,45,Non-Exclusive
SIPA382,Sri Venkateswara Traders,32.5,8,100,Non-Exclusive
SIPA426,Sri Sai Ganesh Agencies,63.8,26,650,Non-Exclusive
SIPA435,Shree Lakshmi Sreenivasa Steels,74.5,20,2500,Non-Exclusive
SIPA460,SRI GANESH STEEL & CEMENTS,31,2,60,Non-Exclusive
SIPA463,BHASKAR TRADERS,9.2,9,270,Non-Exclusive
SIPA490,Ananda Traders,132.8,10,650,Non-Exclusive
SIPA021,Sri Vasavi Hardware,45.5,8,150,Non-Exclusive
SIPA420,Mubarak Agencies,28.2,9,150,Non-Exclusive
SIPA502,Vijaya Hardwares And Paints,31.3,8,50,Non-Exclusive
SIPA508,Sri Vinayaka Agencies,11.6,6,40,Non-Exclusive
SIPA512,Sai Traders,145.8,2,100,Non-Exclusive
SIPA017,Hari Hara Steels & Cements,59.4,24,650,Non-Exclusive
SIPA018,Hari Hara Enterprises,30.8,27,650,Exclusive
SIPA020,Bismilla Traders,17.6,29,200,Exclusive
SIPA521,Bhagavan Traders,16.3,6,50,Non-Exclusive
SIPA500,Basheer Traders,16.8,1,40,Non-Exclusive
SIPA023,Sri S.R.Agencies,61.7,27,220,Non-Exclusive
SIPA215,Raghavendra Traders,45,7,170,Non-Exclusive
SIPA291,Hsn Cement And Steels,40.8,8,110,Non-Exclusive
SIPA377,Renuka Steel And Cement,30.9,11,75,Non-Exclusive
SIPA392,Baba Traders,30.8,4,90,Non-Exclusive
SIPA396,Sri Sai Lakshmi Traders,74.4,19,650,Non-Exclusive
SIPA402,S V Agencies,44.7,13,220,Non-Exclusive
SIPA447,Sri Vijayalakshmi Traders,24.9,13,200,Non-Exclusive
SIPA467,Bakshu Traders,47.3,9,80,Non-Exclusive
SIPA480,Slv Enterprises & Borewells,23,3,80,Non-Exclusive
SIPA485,Lakshmi Venkateswara Traders Angallu,37.9,7,90,Non-Exclusive
SIPA503,Madeena Hardwares,16.1,4,50,Non-Exclusive
SIPA126,Gopal Steel Syndicate,50.2,13,140,Non-Exclusive
SIPA131,Balaji Steel Corporation,40.9,50,1200,Exclusive
SIPA133,Sri Dhanalakshmi Steels,54.8,17,170,Non-Exclusive
SIPA135,Sri Balaji Steel Traders,38,15,160,Non-Exclusive
SIPA184,Sri Satyanarayana Stores,18,11,50,Exclusive
SIPA234,Lakshmi Iron & Cements,115.2,62,30,Non-Exclusive
SIPA243,Sri Balaji Cement Agencies,30.8,14,140,Non-Exclusive
SIPA310,Sri Venkata Sai Steels,37.8,24,140,Non-Exclusive
SIPA330,Sri Venkataramana Iron And Hardware,44.9,19,170,Non-Exclusive
SIPA333,Kr Steels And Cement,51.7,33,160,Non-Exclusive
SIPA345,Sree Narayana Swamy Steel Syndicate,51.7,23,140,Non-Exclusive
SIPA349,Maadhuri Steels And Cements,20.2,9,1200,Exclusive
SIPA378,Sri Ragavendra Traders,30.3,10,60,Non-Exclusive
SIPA408,Sri Raghavendra Traders,44.4,11,400,Non-Exclusive
SIPA409,Sri Bhavani Traders,40.7,6,400,Non-Exclusive
SIPA413,Sri Lalithananda Iron & Cement,75.1,19,30,Non-Exclusive
SIPA444,Sri Sai Balaji Cement & Iron Traders,26.9,10,170,Non-Exclusive
SIPA446,Mahalakshmi Steel Traders,74.5,48,400,Non-Exclusive
SIPA473,Srinivasa Enterprises,60,17,400,Non-Exclusive
SIPA475,S.A.R. Steel Traders,12.2,5,90,Non-Exclusive
SIPA518,Sri Kanakadurga Steel Traders,27.8,6,60,Non-Exclusive
SIPA536,Sri Sai Raghavendra Agencies,11.6,6,80,Non-Exclusive
SIPA122,Sri Srinivasa Traders D,10.9,22,150,Exclusive
SIPA123,Manjunatha Cement & Steel,32.8,18,110,Exclusive
SIPA128,Eswar Agencies,34.3,10,90,Non-Exclusive
SIPA134,Sri Sai Balaji Agencies,27.9,18,120,Non-Exclusive
SIPA213,Sri Vasavi Agencies,24.2,25,120,Non-Exclusive
SIPA236,Siva Sankar Traders,10.2,21,100,Non-Exclusive
SIPA263,Bala Pragathi Traders,24.1,6,60,Non-Exclusive
SIPA321,Lalitha Sai Traders,38,12,120,Non-Exclusive
SIPA361,KAARTHIKEYA TRADERS,55.8,9,300,Non-Exclusive
SIPA367,Sri Sai Srinivasa Traders,22.2,11,120,Non-Exclusive
